site_set,condition,gc_class,n_sites_per_gene,level,base_level,d_A_n_genes,d_A_mean,d_A_median,d_A_sd,d_A_q25,d_A_q75,d_A_frac_improved
platy_not_human,panel_other_k5,gc_down,55.52488068185304,29.82288913963828,36.40393995766379,398,-6.581050818025519,-6.427910285716038,8.222418882757164,-11.357010024289435,-1.5089441307208649,0.1909547738693467
platy_not_human,panel_other_k5,gc_neutral,45.12390873015873,44.11447995374992,42.263708007259474,398,1.8507719464904488,1.4883643588059314,7.549330742880297,-2.7044304218029165,6.418086979407733,0.5979899497487438
platy_not_human,panel_same_k5,gc_up,89.87539702410933,51.53131730401341,44.44696202586844,398,7.084355278144987,6.293510033541445,9.31817177617565,0.825485517941134,12.156150161001346,0.7814070351758794
platy_not_human,panel_same_k5,gc_down,55.51195520002052,30.780600136120576,36.40393995766379,398,-5.623339821543215,-4.451365986902577,10.39818053383332,-12.30211512438249,1.6054553698669558,0.3040201005025125
platy_not_human,panel_same_k5,gc_neutral,45.11335238602827,44.89693367332441,42.263708007259474,398,2.63322566606494,1.8191311612364205,7.853182528202599,-2.3924901937825656,7.404407402346584,0.6180904522613065
platy_not_human,random_a0.5,gc_up,89.69843854846994,44.56868557882464,44.44696202586844,398,0.1217235529562098,0.4432937278627928,5.99135593154905,-3.510015326109004,3.928738172416,0.5251256281407035
platy_not_human,random_a0.5,gc_down,55.75131088899933,35.797335974882884,36.40393995766379,398,-0.6066039827809063,-0.5835236078176909,7.204343323798259,-4.805043526648572,3.678985745740474,0.4547738693467337
platy_not_human,random_a0.5,gc_neutral,45.134411052375874,42.486974109108886,42.263708007259474,398,0.2232661018494108,0.3136922074488133,6.5872702016404405,-3.064435432221803,3.964700901901214,0.5201005025125628
platy_not_human,random_a1.0,gc_up,89.66077255728638,44.489642907452335,44.44696202586844,398,0.0426808815839046,0.3102208003766709,6.307005715095453,-3.679229907421332,3.843426840561813,0.5201005025125628
platy_not_human,random_a1.0,gc_down,55.70919976868469,36.03482837197598,36.40393995766379,398,-0.3691115856878083,-0.1093596178020579,6.787455855773303,-4.52009398863208,3.660597439190086,0.4874371859296482
platy_not_human,random_a1.0,gc_neutral,45.13395705006887,42.62685029782744,42.263708007259474,398,0.3631422905679615,0.470448207045905,6.931375952107476,-3.342813809815242,4.375487828994856,0.5301507537688442
platy_not_human,random_a1.0_L24,gc_up,89.76000268227028,44.420924792044026,44.44696202586844,398,-0.0260372338243969,-0.0681207789177591,6.498424368910202,-4.116746156756461,4.0392814641066,0.4974874371859296
platy_not_human,random_a1.0_L24,gc_down,55.74579994265923,35.321332977024895,36.40393995766379,398,-1.0826069806388967,-0.9030961791831352,6.984404128391232,-5.241374896269226,3.412263613007565,0.4271356783919598
platy_not_human,random_a1.0_L24,gc_neutral,45.09076483608519,42.24296145423331,42.263708007259474,398,-0.0207465530261682,0.2307273154544766,7.0364696426606566,-3.9537861056378105,3.632386152659258,0.5150753768844221
platy_not_human,random_a2.0,gc_up,89.7134638009952,44.086274142174815,44.44696202586844,398,-0.3606878836936165,0.1979133358491562,6.921229270431044,-4.286956024615499,3.6863528618639103,0.5150753768844221
platy_not_human,random_a2.0,gc_down,55.71721252296,36.55294237542173,36.40393995766379,398,0.1490024177579398,0.0529289004779656,7.531090138972262,-4.750399101378826,4.682663016557193,0.5025125628140703
platy_not_human,random_a2.0,gc_neutral,45.16630174682939,42.58394609194836,42.263708007259474,398,0.3202380846888775,0.4644254607065257,7.318801986531912,-3.2494090190217326,3.8471373175905192,0.5276381909547738
private,add_a0.5,gc_up,22.771617013639627,45.397095707456366,41.27967564866709,392,4.117420058789279,4.465495744565512,11.982830440046172,-1.3799380774877896,10.306372549019608,0.6836734693877551
private,add_a0.5,gc_down,15.25402560867385,30.098433764905646,33.97562840872661,394,-3.877194643820965,-3.575743964525925,10.630049977621232,-10.0,2.664682539682536,0.3223350253807107
private,add_a0.5,gc_neutral,16.407655148452886,41.950955082771785,40.02699567120542,393,1.923959411566363,1.3301336344814558,9.780933984715828,-3.73626373626373,8.234782608695646,0.5623409669211196
private,add_a0.5_L24,gc_up,22.789725820661754,42.29935067175648,41.27967564866709,392,1.0196750230893932,1.5792239023400043,11.92619625113738,-4.7625298534741205,7.169209370738455,0.548469387755102
private,add_a0.5_L24,gc_down,15.27106501817557,31.91381606874893,33.97562840872661,394,-2.0618123399776813,-2.272893772893772,10.558348012454465,-7.906926406926409,4.649267399267398,0.4086294416243655
private,add_a0.5_L24,gc_neutral,16.436883042976007,40.7181635133154,40.02699567120542,393,0.6911678421099828,0.3684210526315752,9.918923423422228,-6.115694642010432,7.428571428571431,0.5089058524173028
private,add_a1.0,gc_up,22.791988214883943,50.5160939141624,41.27967564866709,392,9.236418265495317,9.508424908424914,14.168973923053686,2.710161865332635,15.358614424790895,0.8163265306122449
private,add_a1.0,gc_down,15.212872958978489,26.80371405188629,33.97562840872661,394,-7.171914356840318,-7.340146869558636,10.802134297571278,-14.487179487179487,-0.047453118963415,0.2182741116751269
