condition,layer,rho_wasserstein
transcript_cdsmask_kmer6_shuffle,29,0.6900061922677136
transcript_cdsmask_kmer6_shuffle,30,0.7230396270519444
transcript_cdsmask_kmer6_shuffle,31,0.7230396270519444
transcript_cdsmask_synonymous_recode,0,0.9651336583202292
transcript_cdsmask_synonymous_recode,1,0.9677996142637437
transcript_cdsmask_synonymous_recode,2,0.9971104394985045
transcript_cdsmask_synonymous_recode,3,0.9919929685964857
transcript_cdsmask_synonymous_recode,4,0.9870462612112263
transcript_cdsmask_synonymous_recode,5,0.9735931076955102
transcript_cdsmask_synonymous_recode,6,0.9821639329426454
transcript_cdsmask_synonymous_recode,7,0.9776334908927213
transcript_cdsmask_synonymous_recode,8,0.9624554536226975
transcript_cdsmask_synonymous_recode,9,0.991627169799887
transcript_cdsmask_synonymous_recode,10,0.982707476627747
transcript_cdsmask_synonymous_recode,11,0.9898022057823785
transcript_cdsmask_synonymous_recode,12,0.9843688424405732
transcript_cdsmask_synonymous_recode,13,0.9874024365840202
transcript_cdsmask_synonymous_recode,14,0.9878205580445378
transcript_cdsmask_synonymous_recode,15,0.9863079748786334
transcript_cdsmask_synonymous_recode,16,0.9841500286921838
transcript_cdsmask_synonymous_recode,17,0.9879931776864792
transcript_cdsmask_synonymous_recode,18,0.9850844790293891
transcript_cdsmask_synonymous_recode,19,0.9877888116151834
transcript_cdsmask_synonymous_recode,20,0.987436080943178
transcript_cdsmask_synonymous_recode,21,0.9849478030007727
transcript_cdsmask_synonymous_recode,22,0.9885063544947269
transcript_cdsmask_synonymous_recode,23,0.9890566454456936
transcript_cdsmask_synonymous_recode,24,0.9908386844781334
transcript_cdsmask_synonymous_recode,25,0.9842523580440061
transcript_cdsmask_synonymous_recode,26,0.9777365810886497
transcript_cdsmask_synonymous_recode,27,0.9601162425986383
transcript_cdsmask_synonymous_recode,28,0.8831088946338103
transcript_cdsmask_synonymous_recode,29,0.892637112594276
transcript_cdsmask_synonymous_recode,30,0.904156994679827
transcript_cdsmask_synonymous_recode,31,0.904156994679827
