layer,metric,family,rho
1,"k-mer composition (CDS, k=6)",adrenoceptor,0.8288760479830892
1,"k-mer composition (CDS, k=6)",alcohol_dehydrogenase,0.7231196610875754
1,"k-mer composition (CDS, k=6)",aldehyde_dehydrogenase,0.7809645736685947
1,"k-mer composition (CDS, k=6)",aldo_keto_reductase,0.8346107733514667
1,"k-mer composition (CDS, k=6)",alkaline_phosphatase,0.8236232291959845
1,"k-mer composition (CDS, k=6)",arachidonate_lipoxygenase,0.820225859895265
1,"k-mer composition (CDS, k=6)",arf_gtpase,0.7566882392020274
1,"k-mer composition (CDS, k=6)",carbonic_anhydrase,0.6787489255820089
1,"k-mer composition (CDS, k=6)",cxc_chemokine_receptor,0.8665603619566052
1,"k-mer composition (CDS, k=6)",cytochrome_p450,0.8275832636135461
1,"k-mer composition (CDS, k=6)",dopamine_receptor,0.7658855986704973
1,"k-mer composition (CDS, k=6)",ectonucleotide_pyrophosphatase,0.7860684332825149
1,"k-mer composition (CDS, k=6)",ferritin,0.7925635330423577
1,"k-mer composition (CDS, k=6)",flavin_monooxygenase,0.7652760399002949
1,"k-mer composition (CDS, k=6)",globins,0.866977736941413
1,"k-mer composition (CDS, k=6)",glutamate_metabotropic,0.5712834395954739
1,"k-mer composition (CDS, k=6)",glutaredoxin,0.7810225919583402
1,"k-mer composition (CDS, k=6)",glutathione_peroxidase,0.8502579075630362
1,"k-mer composition (CDS, k=6)",glutathione_s_transferase,0.6788519146164764
1,"k-mer composition (CDS, k=6)",guanylate_binding_protein,0.9092885375494072
1,"k-mer composition (CDS, k=6)",heme_oxygenase,0.813477088948787
1,"k-mer composition (CDS, k=6)",histamine_receptor,0.8135665512653362
1,"k-mer composition (CDS, k=6)",histone_deacetylase_classI,0.802791129194439
1,"k-mer composition (CDS, k=6)",histone_h4,0.8898550724637682
1,"k-mer composition (CDS, k=6)",hox,0.8468510527069009
1,"k-mer composition (CDS, k=6)",m14_carboxypeptidase,0.7763474202368396
1,"k-mer composition (CDS, k=6)",matrix_metalloproteinase,0.7942437489606907
1,"k-mer composition (CDS, k=6)",metallothionein,0.6288076088921155
1,"k-mer composition (CDS, k=6)",muscarinic_receptor,0.790456573649566
1,"k-mer composition (CDS, k=6)",nadph_oxidase,0.8214187822843995
1,"k-mer composition (CDS, k=6)",nitric_oxide_synthase,0.91045173286865
1,"k-mer composition (CDS, k=6)",olfactory_receptors,0.7856541198847006
1,"k-mer composition (CDS, k=6)",opsins,0.7836918685044941
1,"k-mer composition (CDS, k=6)",p2y_receptor,0.826772206448701
1,"k-mer composition (CDS, k=6)",peroxidase,0.878126578202815
1,"k-mer composition (CDS, k=6)",peroxiredoxin,0.7756497950823176
1,"k-mer composition (CDS, k=6)",phosphodiesterase,0.7075322280351793
1,"k-mer composition (CDS, k=6)",rab_gtpase,0.7628698298572947
1,"k-mer composition (CDS, k=6)",ras_gtpases,0.7791448095513503
1,"k-mer composition (CDS, k=6)",rho_gtpase,0.8208783635920943
1,"k-mer composition (CDS, k=6)",serine_protease,0.7287954012460791
1,"k-mer composition (CDS, k=6)",serotonin_receptor,0.8068796181393504
1,"k-mer composition (CDS, k=6)",steap_metalloreductase,0.7542218513403322
1,"k-mer composition (CDS, k=6)",sulfotransferase,0.7753800479048307
1,"k-mer composition (CDS, k=6)",taste2_receptor,0.7610733795789087
1,"k-mer composition (CDS, k=6)",udp_glucuronosyltransferase,0.751723885146345
1,patristic tree,adam_metallopeptidase,0.7123977459185289
1,patristic tree,adamts_metallopeptidase,0.6608244022510564
1,patristic tree,adrenoceptor,0.8172568438836054
1,patristic tree,alcohol_dehydrogenase,0.7940343079380511
1,patristic tree,aldehyde_dehydrogenase,0.6959249218607295
1,patristic tree,aldo_keto_reductase,0.6953622865247943
1,patristic tree,alkaline_phosphatase,0.5117539838902068
1,patristic tree,arachidonate_lipoxygenase,0.660469096960205
1,patristic tree,arf_gtpase,0.5349906759192259
1,patristic tree,carbonic_anhydrase,0.5998989781224628
1,patristic tree,cxc_chemokine_receptor,0.7222594651230235
1,patristic tree,cytochrome_p450,0.7703950005724203
1,patristic tree,dopamine_receptor,0.6812926307266421
1,patristic tree,ectonucleotide_pyrophosphatase,0.766786616305616
1,patristic tree,ferritin,0.855102389569539
1,patristic tree,flavin_monooxygenase,0.7051444788057549
1,patristic tree,globins,0.7880249985298428
1,patristic tree,glutamate_metabotropic,0.4904068599688785
1,patristic tree,glutaredoxin,0.7480364239285149
1,patristic tree,glutathione_peroxidase,0.5504522580285667
1,patristic tree,glutathione_s_transferase,0.4752391786000722
1,patristic tree,guanylate_binding_protein,0.906060606060606
1,patristic tree,heme_oxygenase,0.6248600456147626
1,patristic tree,histamine_receptor,0.673460478172121
1,patristic tree,histone_deacetylase_classI,0.4002017716061917
