layer,condition,axis,family,rho
23,kmer4_shuffle,between_family,,0.8141998375606196
23,kmer6_shuffle,between_family,,0.8067271695473871
23,synonymous_recode,between_family,,0.9890566454456936
23,missense_subset,between_family,,0.9790908334321456
23,paired_p3_syn,between_family,,0.9851651285046468
23,paired_p3_missense,between_family,,0.9212623253191812
24,natural,between_family,,1.0
24,gc_match,between_family,,0.7947671600487082
24,dinuc_shuffle,between_family,,0.8162129223736176
24,kmer4_shuffle,between_family,,0.8064724372684454
24,kmer6_shuffle,between_family,,0.8135354283546467
24,synonymous_recode,between_family,,0.9908386844781334
24,missense_subset,between_family,,0.9634898838920124
24,paired_p3_syn,between_family,,0.9870695463852456
24,paired_p3_missense,between_family,,0.9142099442458456
25,natural,between_family,,1.0
25,gc_match,between_family,,0.7751972714090287
25,dinuc_shuffle,between_family,,0.7923188306023408
25,kmer4_shuffle,between_family,,0.784957973229023
25,kmer6_shuffle,between_family,,0.8058561033768754
25,synonymous_recode,between_family,,0.984252358044006
25,missense_subset,between_family,,0.959187168335722
25,paired_p3_syn,between_family,,0.978468580006211
25,paired_p3_missense,between_family,,0.9040573241019144
26,natural,between_family,,1.0
26,gc_match,between_family,,0.7863681434338627
26,dinuc_shuffle,between_family,,0.8168994713069887
26,kmer4_shuffle,between_family,,0.814121897024817
26,kmer6_shuffle,between_family,,0.8258992119678404
26,synonymous_recode,between_family,,0.9777365810886496
26,missense_subset,between_family,,0.9504087078959116
26,paired_p3_syn,between_family,,0.9707491225920684
26,paired_p3_missense,between_family,,0.8941295041281313
27,natural,between_family,,1.0
27,gc_match,between_family,,0.764422715554284
27,dinuc_shuffle,between_family,,0.8037275374782192
27,kmer4_shuffle,between_family,,0.8003704591757724
27,kmer6_shuffle,between_family,,0.7956506923572676
27,synonymous_recode,between_family,,0.9601162425986384
27,missense_subset,between_family,,0.916966189810271
27,paired_p3_syn,between_family,,0.9561172543373592
27,paired_p3_missense,between_family,,0.8450811035570535
28,natural,between_family,,1.0
28,gc_match,between_family,,0.5195086197868196
28,dinuc_shuffle,between_family,,0.5280558421448139
28,kmer4_shuffle,between_family,,0.5215333597282138
28,kmer6_shuffle,between_family,,0.5394367071429601
28,synonymous_recode,between_family,,0.8831088946338103
28,missense_subset,between_family,,0.6051919483429995
28,paired_p3_syn,between_family,,0.8400166910802869
