layer,family_a,family_b,cos
11,rab_gtpase,ras_gtpases,0.9370569425728903
11,rab_gtpase,rho_gtpase,0.9900906919694225
11,ras_gtpases,rho_gtpase,0.9281890465731426
12,arf_gtpase,cytochrome_p450,-0.38456166443143613
12,arf_gtpase,hox,-0.719370956054888
12,arf_gtpase,rab_gtpase,0.9834789320109784
12,arf_gtpase,ras_gtpases,0.9059806343757971
12,arf_gtpase,rho_gtpase,0.9943231661402232
12,cytochrome_p450,hox,0.6606540808045082
12,cytochrome_p450,rab_gtpase,-0.2740167504029719
12,cytochrome_p450,ras_gtpases,-0.14317609368872547
12,cytochrome_p450,rho_gtpase,-0.3241151898878788
12,hox,rab_gtpase,-0.6299682901318546
12,hox,ras_gtpases,-0.49333508259781983
12,hox,rho_gtpase,-0.6745838205318068
12,rab_gtpase,ras_gtpases,0.9289636003688925
12,rab_gtpase,rho_gtpase,0.9885486653406379
12,ras_gtpases,rho_gtpase,0.9177568977332502
13,arf_gtpase,cytochrome_p450,-0.3253276733804011
13,arf_gtpase,hox,-0.7015406490948788
13,arf_gtpase,rab_gtpase,0.9765704326842748
13,arf_gtpase,ras_gtpases,0.8811040919294252
13,arf_gtpase,rho_gtpase,0.9937283847071564
13,cytochrome_p450,hox,0.5745826941457096
13,cytochrome_p450,rab_gtpase,-0.20421032414267187
13,cytochrome_p450,ras_gtpases,-0.051657169539675044
13,cytochrome_p450,rho_gtpase,-0.26919735198368083
13,hox,rab_gtpase,-0.5886142024366972
13,hox,ras_gtpases,-0.42562668322069436
13,hox,rho_gtpase,-0.6551929664850703
13,rab_gtpase,ras_gtpases,0.9148328557945705
13,rab_gtpase,rho_gtpase,0.9833789291142796
13,ras_gtpases,rho_gtpase,0.8963900827921175
14,arf_gtpase,cytochrome_p450,-0.30529149862019717
14,arf_gtpase,hox,-0.6968057117579426
14,arf_gtpase,rab_gtpase,0.9754211980858382
14,arf_gtpase,ras_gtpases,0.879073671795299
14,arf_gtpase,rho_gtpase,0.9936233449550981
14,cytochrome_p450,hox,0.5466250522645137
14,cytochrome_p450,rab_gtpase,-0.1867320365868199
14,cytochrome_p450,ras_gtpases,-0.03688633585816731
14,cytochrome_p450,rho_gtpase,-0.25166308433830187
14,hox,rab_gtpase,-0.5818247210268529
14,hox,ras_gtpases,-0.4200231919314599
14,hox,rho_gtpase,-0.651855325326661
14,rab_gtpase,ras_gtpases,0.9128579421011865
14,rab_gtpase,rho_gtpase,0.9818694671064797
14,ras_gtpases,rho_gtpase,0.8936828641563584
15,arf_gtpase,cytochrome_p450,-0.2771080958975338
15,arf_gtpase,hox,-0.693414806634053
15,arf_gtpase,rab_gtpase,0.97526847895759
15,arf_gtpase,ras_gtpases,0.8764788722348604
15,arf_gtpase,rho_gtpase,0.9932081137448807
15,cytochrome_p450,hox,0.5093175941365189
15,cytochrome_p450,rab_gtpase,-0.16653150882200426
15,cytochrome_p450,ras_gtpases,-0.019814093352297238
15,cytochrome_p450,rho_gtpase,-0.22348039107720596
15,hox,rab_gtpase,-0.5792912551714143
15,hox,ras_gtpases,-0.416379489309034
15,hox,rho_gtpase,-0.6467634093114604
15,rab_gtpase,ras_gtpases,0.9097100713982976
15,rab_gtpase,rho_gtpase,0.9812837327097382
15,ras_gtpases,rho_gtpase,0.891174788675436
16,arf_gtpase,cytochrome_p450,-0.1592956046932862
16,arf_gtpase,hox,-0.692135793189804
16,arf_gtpase,rab_gtpase,0.9781206178959863
16,arf_gtpase,ras_gtpases,0.8890302606121601
16,arf_gtpase,rho_gtpase,0.9934396834144575
16,cytochrome_p450,hox,0.3670733349039397
16,cytochrome_p450,rab_gtpase,-0.0759547001515722
16,cytochrome_p450,ras_gtpases,0.0512263952483733
16,cytochrome_p450,rho_gtpase,-0.11542731842006161
16,hox,rab_gtpase,-0.5971688247281471
16,hox,ras_gtpases,-0.4511283498057949
16,hox,rho_gtpase,-0.6514373344552405
16,rab_gtpase,ras_gtpases,0.9151921239472098
16,rab_gtpase,rho_gtpase,0.9817080159088052
16,ras_gtpases,rho_gtpase,0.8994959711963845
17,arf_gtpase,cytochrome_p450,-0.14662604841355062
17,arf_gtpase,hox,-0.6267982642646658
17,arf_gtpase,rab_gtpase,0.9639185893487084
17,arf_gtpase,ras_gtpases,0.8368372849212377
17,arf_gtpase,rho_gtpase,0.9893971725668597
17,cytochrome_p450,hox,0.3773953259279443
17,cytochrome_p450,rab_gtpase,-0.032391208503273
17,cytochrome_p450,ras_gtpases,0.12099509131806947
17,cytochrome_p450,rho_gtpase,-0.09327817396439594
17,hox,rab_gtpase,-0.49470532946948403
17,hox,ras_gtpases,-0.27985822341584704
17,hox,rho_gtpase,-0.5712105923033608
17,rab_gtpase,ras_gtpases,0.8762928460110422
17,rab_gtpase,rho_gtpase,0.9676934281459949
17,ras_gtpases,rho_gtpase,0.8589685575144338
18,arf_gtpase,cytochrome_p450,-0.14060904958713422
18,arf_gtpase,hox,-0.6120078263924315
18,arf_gtpase,rab_gtpase,0.9620764067873614
18,arf_gtpase,ras_gtpases,0.833890277450898
18,arf_gtpase,rho_gtpase,0.9892781221545566
18,cytochrome_p450,hox,0.3778945489118276
18,cytochrome_p450,rab_gtpase,-0.025126364333672543
18,cytochrome_p450,ras_gtpases,0.12685726311848586
18,cytochrome_p450,rho_gtpase,-0.08778852051783999
18,hox,rab_gtpase,-0.47822662217429357
18,hox,ras_gtpases,-0.26345272179171736
18,hox,rho_gtpase,-0.5587022026425186
18,rab_gtpase,ras_gtpases,0.8722486170128447
18,rab_gtpase,rho_gtpase,0.9647518002411991
18,ras_gtpases,rho_gtpase,0.8548517097347237
19,arf_gtpase,cytochrome_p450,-0.1282355316895653
19,arf_gtpase,hox,-0.6107054415247405
19,arf_gtpase,rab_gtpase,0.9599413102288861
