condition,family,rho_angular_vs_natural,rho_angular_speciestree,written_at,generator
gc_match,serotonin_receptor,0.3648682164363585,0.23196169571531472,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,steap_metalloreductase,0.4258241617471295,0.21036951694256198,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,sulfotransferase,0.43867145440547795,0.26622419599049435,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,taste2_receptor,-0.15014489534639933,-0.06963035232390101,2026-08-31,mammal_controls_score:transcript_cdsmask
gc_match,udp_glucuronosyltransferase,0.6384725791142903,0.3177392720173469,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,adam_metallopeptidase,0.557559329220743,0.20694298342682002,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,adamts_metallopeptidase,0.6532518664032638,0.2515884901329391,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,adrenoceptor,0.3328170328847214,0.16381232786314662,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,alcohol_dehydrogenase,0.7308979790263213,0.16337940134731577,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,aldehyde_dehydrogenase,0.5719200934008215,0.2586631470617653,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,aldo_keto_reductase,0.6140931347200216,0.29488940527016033,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,alkaline_phosphatase,0.8875631592349857,0.2508175519011432,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,arachidonate_lipoxygenase,0.5879265039381102,0.45952548874082827,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,arf_gtpase,0.3434411591355722,0.18814139775643995,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,carbonic_anhydrase,0.4219189552061865,0.25625621277781324,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,cxc_chemokine_receptor,0.3496773701593289,0.1525422512841986,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,cytochrome_p450,0.47699999532404624,0.2946965037821325,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,dopamine_receptor,0.2554462275249053,0.25530059962063595,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,ectonucleotide_pyrophosphatase,0.516728437955124,0.3898228359291128,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,ferritin,0.20789879731986216,0.2279436675856113,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,flavin_monooxygenase,0.5382812125196828,0.2857233882981968,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,globins,0.3638046114241158,0.2155211863726599,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,glutamate_metabotropic,0.4232466782208418,0.16714211439838308,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,glutaredoxin,0.45735734832856473,0.1493970713334902,2026-08-31,mammal_controls_score:transcript_cdsmask
dinuc_shuffle,glutathione_peroxidase,0.4102295427590915,0.27972245217203595,2026-08-31,mammal_controls_score:transcript_cdsmask
